legacy_id,canonical_uuid,object_kind,source_dataset
ring:clm_nr_025,01a01016-ea5b-72af-8c5c-cde2db9c48a1,claim,ring
gurgel:brd_gurgel,01a01016-ea4c-766d-827a-d7a4341a454d,entity,gurgel
gurgel:cmp_enertron,01a01016-ea4c-730d-b48d-0dc661cb9d75,entity,gurgel
gurgel:evt_br_end,01a01016-ea4c-7811-8273-49e04e67d96d,entity,gurgel
gurgel:evt_br_start,01a01016-ea4c-7569-9ec4-1eb11e3f3151,entity,gurgel
gurgel:evt_gurgel_bankruptcy,01a01016-ea4c-73c4-80b1-7c2c2bfd6a62,entity,gurgel
gurgel:evt_gurgel_close,01a01016-ea4c-7d91-94cb-ab7612f7e369,entity,gurgel
gurgel:evt_gurgel_concordata,01a01016-ea4c-72fc-b996-84522239a439,entity,gurgel
gurgel:org_gurgel,01a01016-ea4c-76b8-b2a8-c85cdee6e70e,entity,gurgel
gurgel:per_gurgel,01a01016-ea4c-73c1-87d0-37223d1c1ffb,entity,gurgel
gurgel:plc_brazil,01a01016-ea4c-74f0-8887-33a43af93e29,entity,gurgel
gurgel:plc_rioclaro,01a01016-ea4d-727c-ace2-5a5844c0c932,entity,gurgel
gurgel:veh_br800,01a01016-ea4d-7042-b42b-c2bb234aaefa,entity,gurgel
gurgel:veh_supermini,01a01016-ea4d-7d20-929c-5ce568072960,entity,gurgel
modelt:evt_first_delivery,01a01016-ea4d-71e7-8be4-b717819e18e1,entity,modelt
modelt:evt_highland_move,01a01016-ea4d-70f5-abd4-1548510b564e,entity,modelt
modelt:evt_modelt_end,01a01016-ea4d-7410-b64b-d3ecd10b22b1,entity,modelt
modelt:evt_moving_line,01a01016-ea4d-7ad4-b291-20a795711b61,entity,modelt
modelt:fac_highland,01a01016-ea4d-7efc-a092-49e059f1f4a7,entity,modelt
modelt:fac_piquette,01a01016-ea4d-7960-9f11-9be8b934f557,entity,modelt
modelt:org_ford,01a01016-ea4d-739b-9d06-20a647780fe2,entity,modelt
modelt:tec_moving_line,01a01016-ea4d-7446-b2ab-4135117dd02a,entity,modelt
